"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","02.01.2021 19:00 - 02.01.2021 19:30 (UTC)","2464","n/e","n/e","21301","1718","0","n/e","n/e","n/e","552","","544","n/e","n/e","5933","348","n/e","0","n/e","1891","2305"
"BZN|GB","02.01.2021 19:30 - 02.01.2021 20:00 (UTC)","2459","n/e","n/e","20747","1268","0","n/e","n/e","n/e","0","","519","n/e","n/e","5935","200","n/e","1","n/e","2054","2359"
"BZN|GB","02.01.2021 20:00 - 02.01.2021 20:30 (UTC)","2459","n/e","n/e","19783","1206","0","n/e","n/e","n/e","0","","438","n/e","n/e","5934","164","n/e","1","n/e","1851","2424"
"BZN|GB","02.01.2021 20:30 - 02.01.2021 21:00 (UTC)","2392","n/e","n/e","18403","1273","0","n/e","n/e","n/e","0","","422","n/e","n/e","5935","166","n/e","2","n/e","1991","2503"
"BZN|GB","02.01.2021 21:00 - 02.01.2021 21:30 (UTC)","2375","n/e","n/e","17744","955","0","n/e","n/e","n/e","0","","404","n/e","n/e","5939","165","n/e","0","n/e","2025","2562"
"BZN|GB","02.01.2021 21:30 - 02.01.2021 22:00 (UTC)","2374","n/e","n/e","16258","615","0","n/e","n/e","n/e","0","","405","n/e","n/e","5933","179","n/e","0","n/e","2182","2624"
"BZN|GB","02.01.2021 22:00 - 02.01.2021 22:30 (UTC)","2375","n/e","n/e","15273","235","0","n/e","n/e","n/e","0","","371","n/e","n/e","5931","165","n/e","1","n/e","2163","2621"
"BZN|GB","02.01.2021 22:30 - 02.01.2021 23:00 (UTC)","2373","n/e","n/e","13974","0","0","n/e","n/e","n/e","0","","360","n/e","n/e","5939","165","n/e","0","n/e","2157","2667"
"BZN|GB","02.01.2021 23:00 - 02.01.2021 23:30 (UTC)","2355","n/e","n/e","12442","0","0","n/e","n/e","n/e","0","","339","n/e","n/e","5922","150","n/e","0","n/e","2224","2589"
"BZN|GB","02.01.2021 23:30 - 03.01.2021 00:00 (UTC)","2352","n/e","n/e","11300","0","0","n/e","n/e","n/e","0","","347","n/e","n/e","5928","144","n/e","0","n/e","2293","2567"
